cell_n	region	city	category_label	category_qid	google_place_id	usable_posts_now	unresolved_stock
3	長野県	松本市	そば	Q753910	ChIJ25LHw4sOHWARKNJO0jIs9nA	1	0
3	長野県	長野市	ケーキ	Q13276	ChIJY3wzoleHHWARxPTYocWrFKM	5	0
3	静岡県	富士市	ラーメン	Q234646	ChIJM8hBsp8qGmARhcGnkhgab48	1	0
3	静岡県	沼津市	餃子	Q640769	ChIJr2_x2WCFGWAR5gqRSb0IdDQ	2	0
3	香川県	高松市	居酒屋	Q1193068	ChIJr3hGuBDrUzURvlgrwrb-Sh0	2	0
3	鹿児島県	鹿児島市	そば	Q753910	ChIJ7yI3NQBfPjUR1rZDu5tWZw0	2	0
3	鹿児島県	鹿児島市	そば	Q753910	ChIJ35NxJ_pnPjURr95KPyVP6_Y	1	0
3	鹿児島県	鹿児島市	そば	Q753910	ChIJJ_xBlcNnPjURF2EALzVFq-Q	1	0
3	鹿児島県	鹿児島市	そば	Q753910	ChIJ9RNt3adfPjURMKvedB1wn_c	1	0
3	鹿児島県	鹿児島市	寿司	Q46383	ChIJGw85hgJlPjURQ7s0jlsqnec	1	0
3	鹿児島県	鹿児島市	餃子	Q107014807	ChIJ1ZvPME9nPjUR3vzQ7BmRmbM	1	0
