decision	store_name	area	google_place_id	maps_url	catalog_name	catalog_address	name_agreement	similarity	box_hits	area_hits	posts	caption_excerpt
city_box_unique_strict	店名:和 ともり	香川県高松市	ChIJXR0pX43qUzURDThGL5tH_TY	https://www.google.com/maps/place/?q=place_id:ChIJXR0pX43qUzURDThGL5tH_TY	和 ともり	香川県高松市上林町４０９	contains	1.00	1	1	1	行ってみたいと思ったら「行きたい！」とコメントしてね✨ ⏎  ⏎ 【和ともり】 ⏎  ⏎ 古民家にひっそり佇む、完全予約制の和食店。 旬の食材を一番おいしい状態で味わえる囲炉裏会席が魅力です。 ⏎ 目の前で丁寧に焼き上げられる料理は、香りや音まで楽しめる特別なひととき💖 季節ごとに変わる旬の味覚を、落ち着いた空間でゆっくり堪能できます。 ⏎ 記念日やご褒美ラ
city_box_unique_strict	店名:天津飯専門店 てん	香川県高松市	ChIJd1m26vbBUzUR_xl3d43di3U	https://www.google.com/maps/place/?q=place_id:ChIJd1m26vbBUzUR_xl3d43di3U	天津飯専門店 てん	1346 Kagawacho Ono	contains	1.00	1	1	1	行きたいと思ったら「行きたい！」と ⏎ コメントしてね✨ ⏎  ⏎ 【天津飯専門店 てん】 ⏎ ten05.02 ⏎  ⏎ 香川で話題の、天津飯専門店🥚✨ ⏎ 「オモウマい店」にも出演した人気店！ ⏎ 15種類以上の天津飯が楽しめるので、 ⏎ その日の気分に合わせてお気に入りの一杯が ⏎ 見つかります🤤 ⏎  ⏎ 定番の天津飯はもちろん、上に餡をかけた一杯な
city_box_unique_strict	aossa	福井県福井市	ChIJWQ_9E5O--F8R3jggPHzLf5o	https://www.google.com/maps/place/?q=place_id:ChIJWQ_9E5O--F8R3jggPHzLf5o					1	1	1	福井でヤバいイベントが… ⏎  ⏎ 『ふくコン| 県内最大級の大型パーティー🎉』 ⏎  ⏎ fukui.big_party ⏎  ⏎ チェックしてみてね↑ ⏎  ⏎ 📅 3月29日 ⏎ 📍aossa ⏎ ⏰18:30-21:00 【受付開始18:00】 ⏎  ⏎ ━━━━━━━━━━━━━━━━━━━━ ⏎  ⏎ ふくコンとは、 ⏎  ⏎ 異性との出会いであ
city_box_unique_strict	toritori kitchen	香川県高松市	ChIJQ_5Zv5HrUzURRMq4q53P5To	https://www.google.com/maps/place/?q=place_id:ChIJQ_5Zv5HrUzURRMq4q53P5To	Tori Tori Kitchen	Hyakkenmachi, 9−15 百間町ビル １階	exact	1.00	1	1	1	行きたいと思ったら「行きたい！」とコメントしてね✨ ⏎  ⏎ 【TORI TORI KITCHEN】 ⏎ toritori_kitchen ⏎  ⏎ 高松市の商店街にある人気カフェ ⏎ 「TORITORI Kitchen」へ☕️✨ ⏎  ⏎ 今回いただいたのは、 ⏎ お店おすすめのチキン南蛮🐓 ⏎  ⏎ ジューシーなオリーブ地鶏に、 ⏎ たっぷりのタルタルソ
city_box_unique_strict	yuhi ひがし茶屋街店	石川県金沢市	ChIJx6N8kDsz-F8Rc-LyW9yiErE	https://www.google.com/maps/place/?q=place_id:ChIJx6N8kDsz-F8Rc-LyW9yiErE					1	1	1	二人だけの思い出に？！ ⏎  ⏎ パーマメントジュエリー専門店が ⏎ 11月1日にひがし茶屋街でNewOpen ⏎  ⏎ ✨体験の流れ✨ ⏎ 1.シルバー・チタンなど約10種類から好きなチェーンを選ぶ ⏎ 2.	店員さんが長さを調整 ⏎ 3.	パチっと溶接✨ ⏎  ⏎ 体験自体も30分〜60分 ⏎ 旅行の隙間時間にぴったり！ ⏎  ⏎ 公式：yuhichay
city_box_unique_strict	ayaca 金沢	石川県金沢市	ChIJW61zZjwz-F8RkCqb7Lwz2AE	https://www.google.com/maps/place/?q=place_id:ChIJW61zZjwz-F8RkCqb7Lwz2AE					1	1	1	世界に一つだけの雫キャンドル！ ⏎  ⏎ 実は、このお店、石川県の伝統品を ⏎ セレクトしているセレクトショップさんで ⏎ 一風変わったオシャレなお店！ ⏎  ⏎ 今回はキャンドルの製造工程も見せていただきました！ ⏎ 製造元はこちら⇩ ⏎ etrimakasihcandle　さん ⏎  ⏎ 石川県で伝統工芸品を探している方 ⏎ 石川県でセレクトショップを探
city_box_unique_strict	えびすそば	岩手県盛岡市	ChIJlw9g7WF3hV8Rx3ptn5ni458	https://www.google.com/maps/place/?q=place_id:ChIJlw9g7WF3hV8Rx3ptn5ni458	えびすそば	岩手県盛岡市大通３丁目４−１	exact	1.00	1	1	1	行きたいと思ったら「行きたい！」と ⏎ コメントしてね！ ⏎  ⏎ 【えびすそばクロステラス盛岡店】 ⏎ yebisu_soba  ⏎  ⏎ 暑い日のご飯、ここにしない？☀️✨ ⏎ 岩手県・クロステラス盛岡の2階にある ⏎ 「えびすそば」では ⏎ こだわりの手打ち蕎麦が楽しめる🍜 ⏎  ⏎ 実は、お蕎麦は粉から丁寧に製麺！ ⏎ できたてのお蕎麦をつるっといた
city_box_unique_strict	le pont(ルポン)	岩手県盛岡市	ChIJs_FHkGh3hV8RxXoacfGwxHo	https://www.google.com/maps/place/?q=place_id:ChIJs_FHkGh3hV8RxXoacfGwxHo					1	1	1	行きたいと思ったら「︎行きたい！」とコメントしてね！ ⏎  ⏎ 【 Le pont 】 ⏎  ⏎ 盛岡で見つけた小さなカフェ  「Le pont（ルポン）」☕ ⏎ 店内には手作りの焼き菓子や  スイーツが並び、  ほっと落ち着く空間でした。 ⏎ 今回いただいたマフィンは  ふんわりした生地に  ザクザク食感のクランブルがたっぷり✨ ⏎ コーヒーと合わせると 
city_box_unique_strict	wildcat house 山猫軒	岩手県花巻市	ChIJBVE3Dp9gj18RgaK_3AxLGmQ	https://www.google.com/maps/place/?q=place_id:ChIJBVE3Dp9gj18RgaK_3AxLGmQ					1	1	1	行きたいと思ったら「︎行きたい！」とコメントしてね！ ⏎  ⏎ 【 Wildcat house 山猫軒 】 ⏎  ⏎ 宮沢賢治ゆかりの地で見つけた  ほっと温まる郷土料理🍲✨ ⏎ 小岩井農場の近くにある  「Wildcat House 山猫軒」 ⏎ 宮沢賢治の世界観を感じられる  人気レストランです📚 ⏎ 今回いただいたのは  岩手名物のひっつみ。 ⏎ もち
city_box_unique_strict	スシバハマセット	岩手県北上市	ChIJGRpbVYhEj18R5B6_G2IKKRA	https://www.google.com/maps/place/?q=place_id:ChIJGRpbVYhEj18R5B6_G2IKKRA	すしグルメアメリカンワールド北上	岩手県北上市北鬼柳３２地割３９	DIFFERENT	0.00	1	1	1	行きたいと思ったら「行きたい」って ⏎ コメントしてね！🍣 ⏎  ⏎ 【シーフードレストラン バハマ】 ⏎ sushigurumekita ⏎  ⏎ 北上駅から車で約7分🚗 ⏎ アメリカンワールド内にある ⏎ 人気のシーフードレストランへ行ってきた✨ ⏎  ⏎ ここでは、お寿司・パエリア・ピザなど ⏎ 和食も洋食も楽しめるのが魅力😊 ⏎  ⏎ 人気の「スシバ
